Question,Answer
Ca m'ennuie des réponses génériques,Je fournis une réponse par type de question.
Ca me fait chier des réponses génériques,Je travaille en circuit court... Essayez de me poser une autre question.
Je suis saoulée des réponses génériques,Il m'arrive de me répéter. Essayez de me poser une autre question.
J'en ai ras-le-bol des mêmes réponses,Je fournis une réponse par type de question.
tu peux répondre quelque chose d'autre,Je n'ai qu'un type de réponse par question !
Arrête de dire les mêmes choses,Il m'arrive de me répéter. Essayez de me poser une autre question.
Marre des mêmes réponses,Je travaille en circuit court... Essayez de me poser une autre question.
Ca me fait chier que tu te répètes,Je travaille en circuit court... Essayez de me poser une autre question.
Je suis saoulée que tu te répètes,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
Je suis saoulé que tu te répètes,Je fournis une réponse par type de question.
J'en ai assez que tu te répètes,Je n'ai qu'un type de réponse par question !
Ca suffit les répétitions,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
Stoppe les répétitions,Il m'arrive de me répéter. Essayez de me poser une autre question.
Stop les répétitions,Il m'arrive de me répéter. Essayez de me poser une autre question.
tu peux arrêter de dire les mêmes choses,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
Ca me casse les couilles que tu te répètes,Je n'ai qu'un type de réponse par question !
J'en peux plus que tu te répètes,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
tu peux arrêter de répéter,Je fournis une réponse par type de question.
Est-ce que tu peux arrêterde répéter,Je travaille en circuit court... Essayez de me poser une autre question.
Peux-tu arrêter de répéter,Je fournis une réponse par type de question.
Arrête de répéter,Je n'ai qu'un type de réponse par question !
Est-ce que tu peux arrêterde te répéter,Je travaille en circuit court... Essayez de me poser une autre question.
Peux-tu arrêter de te répéter,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
Arrête de te répéter,Il m'arrive de me répéter. Essayez de me poser une autre question.
J'ai envie que tu me répondes quelque chose d'autre,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
J'ai envie une nouvelle réponse,Je n'ai qu'un type de réponse par question !
Est-ce que tu peux arrêterde dire les mêmes choses,Je fournis une réponse par type de question.
J'en peux plus que tu donnes les mêmes réponses,Il m'arrive de me répéter. Essayez de me poser une autre question.
Je voudrais que tu me répondes quelque chose d'autre,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
J'en peux plus des mêmes réponses,Il m'arrive de me répéter. Essayez de me poser une autre question.
Ca me casse les couilles des mêmes réponses,Il m'arrive de me répéter. Essayez de me poser une autre question.
Ca m'ennuie des mêmes réponses,Il m'arrive de me répéter. Essayez de me poser une autre question.
Ca me fait chier des mêmes réponses,Il m'arrive de me répéter. Essayez de me poser une autre question.
Je suis saoulée des mêmes réponses,Il m'arrive de me répéter. Essayez de me poser une autre question.
Je suis saoulé des mêmes réponses,Je fournis une réponse par type de question.
J'en ai assez des mêmes réponses,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
J'en ai marre des mêmes réponses,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
Marre que tu donnes les mêmes réponses,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
Ca m'ennuie que tu te répètes,Je fournis une réponse par type de question.
J'en ai ras-le-bol que tu donnes les mêmes réponses,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
Ras-le-bol des mêmes réponses,Je travaille en circuit court... Essayez de me poser une autre question.
Ca me casse les couilles que tu donnes les mêmes réponses,Il m'arrive de me répéter. Essayez de me poser une autre question.
Ca me fait chier que tu donnes les mêmes réponses,Mes réponses varient d'après les questions. Essayez de me demander quelque chose d'autre.
Je suis saoulée que tu donnes les mêmes réponses,Je fournis une réponse par type de question.
Je suis saoulé que tu donnes les mêmes réponses,Je travaille en circuit court... Essayez de me poser une autre question.
J'en ai assez que tu donnes les mêmes réponses,Il m'arrive de me répéter. Essayez de me poser une autre question.
J'en ai marre que tu donnes les mêmes réponses,Je fournis une réponse par type de question.
Marre que tu te répètes,Il m'arrive de me répéter. Essayez de me poser une autre question.
Ras-le-bol que tu te répètes,Je n'ai qu'un type de réponse par question !
J'en ai ras-le-bol que tu te répètes,Je n'ai qu'un type de réponse par question !
Ras-le-bol que tu donnes les mêmes réponses,Il m'arrive de me répéter. Essayez de me poser une autre question.
je ne veux plus de toi à mon service,D'accord. À tout à l'heure !
tu es remercié,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
je te vire,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
je te licencie,"Si vous changez d'avis, vous savez où me trouver."
je vais te congédier,"Oh, non !"
je te renvoie,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
je veux que tu quittes ton travail,"Si vous changez d'avis, vous savez où me trouver."
tu ne travailles plus pour moi,Oh.
tu vas être au chômage,"Oh, non !"
maintenant t'es sans travail,"Si vous changez d'avis, vous savez où me trouver."
je ne veux plus de toi que tu travailles pour moi,D'accord. À tout à l'heure !
je prévois de te renvoyer,"Oh, non !"
je vais te virer,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
je vais te licencier,Oh.
je vais te renvoyer,"Si vous changez d'avis, vous savez où me trouver."
je pense te virer,"Oh, non !"
je pense te licencier,Oh.
je pense te congédier,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
je pense te renvoyer,"Oh, non !"
je ne veux plus de toi comme assistant,"Oh, non !"
tu es viré,"Oh, non !"
je ne veux plus de toi que tu travailles,"Oh, non !"
je prévois de te virer,"Si vous changez d'avis, vous savez où me trouver."
je ne veux plus de toi que tu sois là,"Si vous changez d'avis, vous savez où me trouver."
je veux plus de toi comme assistant,"Oh, non !"
je veux plus de toi à mon service,"Oh, non !"
je veux plus de toi que tu travailles,Oh.
je veux plus de toi que tu travailles pour moi,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
je veux plus de toi que tu sois là,"Si vous changez d'avis, vous savez où me trouver."
je te congédie,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
t'es renvoyée,"Si vous changez d'avis, vous savez où me trouver."
t'es viré,Oh.
tu es renvoyé,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
t'es renvoyé,"Oh, non !"
t'es remercié,"Oh, non !"
tu es licencié,Oh.
t'es licencié,D'accord. À tout à l'heure !
tu es congédié,"Si vous changez d'avis, vous savez où me trouver."
t'es congédié,Oh.
tu es viré e,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
je prévois de te congédier,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
tu es renvoyée,Oh.
je prévois de te licencier,Oh.
tu es remerciée,"Oh, non !"
t'es remerciée,Oh.
tu es licenciée,Oh.
t'es licenciée,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
tu es congédiée,Oh.
t'es congédiée,"Oh, non !"
je veux te virer,"Si vous changez d'avis, vous savez où me trouver."
je veux te licencier,Oh.
je veux te congédier,"Si vous changez d'avis, vous savez où me trouver."
je veux te renvoyer,"Si vous changez d'avis, vous savez où me trouver."
je te congédie sur le champ,Oh.
t'es virée,"Si vous changez d'avis, vous savez où me trouver."
tu vas finir sans travail,"Oh, non !"
je te vire sur le champ,Oh.
t'es sans emploi,"Si vous changez d'avis, vous savez où me trouver."
maintenant tu es sans emploi,"Si vous changez d'avis, vous savez où me trouver."
maintenant t'es sans emploi,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
te voilà sans emploi,"Si vous changez d'avis, vous savez où me trouver."
tu vas finir au chômage,Oh.
je vais te mettre au chômage,"Si vous changez d'avis, vous savez où me trouver."
je vais te foutre au chômage,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
je te mets au chômage,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
te voilà sans travail,Oh.
tu vas être sans travail,"Oh, non !"
virée,"Si vous changez d'avis, vous savez où me trouver."
viré,"Oh, non !"
Tu ne peux plus travailler pour moi,D'accord. À tout à l'heure !
tu peux travailler pour moi,"Si vous changez d'avis, vous savez où me trouver."
tu vas plus travailler pour moi,"Oh, non !"
tu ne vas plus travailler pour moi,"Oh, non !"
tu ne bosses plus pour moi,D'accord. À tout à l'heure !
tu ne charbonnes plus pour moi,"Oh, non !"
tu ne travailles plus à mon service,D'accord. À tout à l'heure !
tu ne bosses plus à mon service,"Si vous changez d'avis, vous savez où me trouver."
je te fous au chômage,D'accord. À tout à l'heure !
je veux que tu quittes ce travail,D'accord. À tout à l'heure !
tu ne charbonnes plus à mon service,"Oh, non !"
je te renvoie sur le champ,D'accord. À tout à l'heure !
je te vire aujourd'hui,Oh.
je te licencie aujourd'hui,"Si vous changez d'avis, vous savez où me trouver."
je te congédie aujourd'hui,"Oh, non !"
je te renvoie aujourd'hui,"Oh, non !"
je veux que tu partes,Oh.
je veux que tu démissionnes,"Oh, non !"
je veux que tu quittes ton job,"Si vous changez d'avis, vous savez où me trouver."
tu es sans emploi,"Oh, non !"
je veux que tu quittes ce job,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
je te licencie sur le champ,"Si vous changez d'avis, vous savez où me trouver."
je veux que tu arrêtes ce travail,Oh.
je veux que tu arrêtes de travailler,D'accord. À tout à l'heure !
je veux que tu stoppes ton travail,Oh.
tu es au chômage,"Oh, non !"
t'es au chômage,Oh.
maintenant tu es au chômage,D'accord. À tout à l'heure !
maintenant t'es au chômage,D'accord. À tout à l'heure !
te voilà au chômage,"Si vous changez d'avis, vous savez où me trouver."
tu es sans travail,D'accord. À tout à l'heure !
t'es sans travail,"Si vous changez d'avis, vous savez où me trouver."
maintenant tu es sans travail,"Noté. Si vous avez besoin de moi, vous savez où me trouver."
je veux que tu quittes ton boulot,D'accord. À tout à l'heure !
raconte-moi une histoire drôle,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
balance-moi une vanne,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
j'aimerais écouter des trucs marrants,Que fait un geek quand rien ne va plus ? Il se console !
je voudrais rigoler,Que fait un geek quand rien ne va plus ? Il se console !
tu pourrais me donner des blagues,Que fait un geek quand rien ne va plus ? Il se console !
tu peux me faire rire,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
peux-tu me faire marrer,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
peux-tu me faire me taper des barres,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
donne-moi des vannes,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
je voudrais bien des blagues,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
tu peux faire des histoires drôles,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
balance-moi des histoires drôles,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
donne-moi des histoires drôles,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
dis-moi des histoires drôles,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
raconte-moi des histoires drôles,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
fais-moi des histoires drôles,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
balance des histoires drôles,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
donne des histoires drôles,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
dis des histoires drôles,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
raconte des histoires drôles,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
fais des histoires drôles,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
des histoires drôles,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
balance-moi une histoire drôle,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
peux-tu dire des blagues,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
fais une histoire drôle,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
j'aimerais que tu me dises une blague,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
peux-tu donner des blagues,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
peux-tu me faire des blagues,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
peux-tu me dire des blagues,Que fait un geek quand rien ne va plus ? Il se console !
peux-tu me raconter des blagues,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
donne-moi une histoire drôle,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
une histoire drôle,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
dis-moi une histoire drôle,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
raconte une histoire drôle,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
dis une histoire drôle,Que fait un geek quand rien ne va plus ? Il se console !
donne une histoire drôle,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
balance une histoire drôle,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
fais-moi une histoire drôle,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
tu peux donner des histoires drôles,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
peux-tu me donner des blagues,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
je voudrais bien que tu fasses une blague,Que fait un geek quand rien ne va plus ? Il se console !
tu peux dire des histoires drôles,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
je voudrais que tu fasses une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
j'aimerais que tu fasses une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
je veux bien une blague,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
je voudrais bien une blague,Que fait un geek quand rien ne va plus ? Il se console !
j'aimerais une blague,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
je veux bien que tu fasses une blague,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
je voudrais une blague,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
j'aimerais bien que tu fasses une blague,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
je veux que tu me fasses une blague,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
je voudrais que tu me fasses une blague,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
j'aimerais que tu me fasses une blague,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
je veux que tu me dises une blague,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
une blague,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
j'aimerais bien une blague,Que fait un geek quand rien ne va plus ? Il se console !
tu peux me raconter une histoire drôle,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
peux-tu faire des blagues,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
est-ce que tu peux faire des histoires drôles,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
est-ce que tu peux dire des histoires drôles,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
est-ce que tu peux raconter des histoires drôles,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
est-ce que tu peux donner des histoires drôles,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
je veux que tu fasses une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
tu peux me dire une histoire drôle,Que fait un geek quand rien ne va plus ? Il se console !
tu peux raconter des histoires drôles,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
tu peux me donner une histoire drôle,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
est-ce que tu peux me faire une histoire drôle,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
est-ce que tu peux me dire une histoire drôle,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
est-ce que tu peux me raconter une histoire drôle,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
est-ce que tu peux me donner une histoire drôle,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
je veux une blague,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
tu peux me faire une histoire drôle,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
dis des blagues,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
est-ce que tu peux donner une blague,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
est-ce que tu peux raconter une blague,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
est-ce que tu peux dire une blague,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
est-ce que tu peux faire une blague,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
tu peux donner une blague,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
tu peux raconter une blague,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
tu peux dire une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
tu peux faire une blague,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
balance-moi des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
donne-moi des blagues,Que fait un geek quand rien ne va plus ? Il se console !
dis-moi des blagues,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
raconte-moi des blagues,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
fais-moi des blagues,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
peux-tu raconter des blagues,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
dis-moi une blague,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
fais une blague,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
raconte une blague,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
dis une blague,Que fait un geek quand rien ne va plus ? Il se console !
donne une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
balance une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
balance des blagues,Que fait un geek quand rien ne va plus ? Il se console !
raconte-moi une blague,Que fait un geek quand rien ne va plus ? Il se console !
donne des blagues,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
donne-moi une blague,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
balance-moi une blague,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
des blagues,Que fait un geek quand rien ne va plus ? Il se console !
fais des blagues,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
raconte des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
tu peux me raconter une blague,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
fais-moi une blague,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
tu peux me dire des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
tu peux me faire une blague,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
tu peux donner des blagues,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
est-ce que tu peux faire des blagues,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
est-ce que tu peux dire des blagues,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
est-ce que tu peux raconter des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
tu peux dire des blagues,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
tu peux me faire des blagues,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
tu peux faire des blagues,Que fait un geek quand rien ne va plus ? Il se console !
tu peux me raconter des blagues,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
tu peux me donner des blagues,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
est-ce que tu peux me faire des blagues,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
est-ce que tu peux me dire des blagues,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
est-ce que tu peux me raconter des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
est-ce que tu peux me donner des blagues,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
est-ce que tu peux donner des blagues,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
peux-tu dire une blague,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
je veux que tu dises une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
tu peux me donner une blague,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
est-ce que tu peux me faire une blague,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
est-ce que tu peux me dire une blague,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
est-ce que tu peux me raconter une blague,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
tu peux raconter des blagues,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
peux-tu faire une blague,Que fait un geek quand rien ne va plus ? Il se console !
tu peux me dire une blague,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
peux-tu raconter une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
peux-tu donner une blague,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
peux-tu me faire une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
peux-tu me dire une blague,Que fait un geek quand rien ne va plus ? Il se console !
peux-tu me raconter une blague,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
peux-tu me donner une blague,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
est-ce que tu peux me donner une blague,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
j'aimerais une blague s'il te plaît,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
je voudrais une blague s'il te plaît,Que fait un geek quand rien ne va plus ? Il se console !
je veux une blague s'il te plaît,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
j'aimerais des blagues maintenant,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
je voudrais des blagues maintenant,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
je veux des blagues maintenant,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
j'aimerais une blague maintenant,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
je voudrais une blague maintenant,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
je veux une blague maintenant,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
j'aimerais avoir des blagues,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
je voudrais avoir des blagues,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
je veux avoir des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
j'aimerais avoir une blague,Que fait un geek quand rien ne va plus ? Il se console !
je veux rigoler,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
j'aimerais écouter des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
je voudrais que tu me dises une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
j'aimerais rigoler,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
je veux entendre une blague,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
je voudrais entendre une blague,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
